"","tweet","date","isretweet","retweeted","retweetcount","favoritecount","favorited"
"106","Subscribe at https://t.co/OsA81jTPOj to read our entire May 10 #newspaper online. #Delaware #netde #pedestriansafety https://t.co/gV4KVvmr2x","2016-05-10 19:42:22","FALSE","FALSE","1","0","FALSE"
"107","RT @CommonCauseDE: Thanks to all senators who voted yes on SB 242 and @MargaretRHenry @BryanTownsendDE #netde https://t.co/kpThu7szzT","2016-05-10 19:41:11","TRUE","FALSE","2","0","FALSE"
"108","RT @GovernorMarkell: Applaud Senate vote to end financial bar to voting when ppl finish probation. Voting shouldn’t depend on ability to pa…","2016-05-10 19:40:53","TRUE","FALSE","8","0","FALSE"
"109","RT @CommonCauseDE: Thanks to all senators who voted yes on SB 242 and @MargaretRHenry @BryanTownsendDE #netde https://t.co/kpThu7szzT","2016-05-10 19:39:56","TRUE","FALSE","2","0","FALSE"
"110","Creep-o-meter flashback 
#netde #nccde #wilmde #delaware #TomGordon #Freebery https://t.co/5re7ddz26v","2016-05-10 19:39:43","FALSE","FALSE","2","1","FALSE"
"111","Applaud Senate vote to end financial bar to voting when ppl finish probation. Voting shouldn’t depend on ability to pay fines/fees #netDE","2016-05-10 19:39:29","FALSE","FALSE","8","10","FALSE"
"112","Imagine the aerials you can get with one of these... #visioning #videoproduction #netde
https://t.co/9XgnaWpaUL https://t.co/YTSUiNchwI","2016-05-10 19:36:01","FALSE","FALSE","0","0","FALSE"
"113","RT @DESenateDems: SB 208, sponsored by Sen. Blevins, has passed the Senate unanimously. The bill strengthens #Delaware's Online Privacy Pro…","2016-05-10 19:35:07","TRUE","FALSE","1","0","FALSE"
"114","RT @NCCo_Politics: Tom Gordon really is an ""Uncle Tom"" ;)
#NetDE #NCCDE #Delaware #WilmDE https://t.co/Uy403i8zHA","2016-05-10 19:33:46","TRUE","FALSE","2","0","FALSE"
"115","RT @NCCo_Politics: Tom Gordon really is an ""Uncle Tom"" ;)
#NetDE #NCCDE #Delaware #WilmDE https://t.co/Uy403i8zHA","2016-05-10 19:33:23","TRUE","FALSE","2","0","FALSE"
"116","The latest in #HIE news from Delaware beyond Weds 11 am EST. #netDE #HealthIT https://t.co/E7ccJc2SSC https://t.co/MhFvXrE62e","2016-05-10 19:33:02","FALSE","FALSE","0","0","FALSE"
"117","Tom Gordon really is an ""Uncle Tom"" ;)
#NetDE #NCCDE #Delaware #WilmDE https://t.co/Uy403i8zHA","2016-05-10 19:32:34","FALSE","FALSE","2","4","FALSE"
"118","Listen to Prof Judy Ritter at 4:32 EDT on @WDEL with @LoudellWDEL on criminal chgs in the Howard High student death. #netde #DelawareLaw","2016-05-10 19:30:26","FALSE","FALSE","0","1","FALSE"
"119","RT @technicallyDE: Get a full 360 of the Christina River with this interactive map https://t.co/v64l4nNXCY #netDE https://t.co/aH3mDmCnYO","2016-05-10 19:30:15","TRUE","FALSE","4","0","FALSE"
"120","NB Rt 7 is jammed from Telegraph Rd to Limestone Rd.  The earlier accident that started the delay is gone, all lanes open.  #NetDE","2016-05-10 19:29:37","FALSE","FALSE","0","0","FALSE"
"121","Check out our window display at 10th &amp; Orange Streets in Wilmington! Get tkts now at https://t.co/5tvgDOetXW. #netde https://t.co/4s92TPNwOX","2016-05-10 19:26:30","FALSE","FALSE","1","1","FALSE"
"122","RT @GoddessofVin: Super excited to have signed up for our FIRST-ever physical show! This #etsyseller goes live at @FirstStateFlea in June!…","2016-05-10 19:26:23","TRUE","FALSE","2","0","FALSE"
"123","@CarouselParkDE has a baby alpaca! See her in our Kids Corral @DelawareToDo @dekidsdirectory #netDE https://t.co/alJz31XrNh","2016-05-10 19:21:33","FALSE","FALSE","0","0","FALSE"
"124","NASCAR returns to safer Delaware track https://t.co/pbZ2sIPcQX #netDE","2016-05-10 19:21:06","FALSE","FALSE","0","0","FALSE"
"125","RT @PDGTweet: The #women who like #DonaldTrump https://t.co/C7y0Q4zCOF RT @nytimes @BCpoliticsmores @KatieMcGintyPA #campaign2016 #election…","2016-05-10 19:15:25","TRUE","FALSE","1","0","FALSE"
"126","BREAKING: Treasurer stole $200k from Millville Fire Co: State Auditor #netde https://t.co/wJVQUDW6Af via @MyDelmarvaNow","2016-05-10 19:15:07","FALSE","FALSE","0","0","FALSE"
"127","RT @ChristinaK12: School Board Elections TODAY! Polls open 10am to 8pm - https://t.co/ygxoumW8eR #CSDpride #leadingtheway #netde https://t.…","2016-05-10 19:14:58","TRUE","FALSE","4","0","FALSE"
"128","RT @RadioDawson: Bill allowing ex-felons to vote while still paying off fines passes Senate 16-4 with 1 absent #netDE #Delaware","2016-05-10 19:14:44","TRUE","FALSE","4","0","FALSE"
"129","RT @DESenateDems: @MargaretRHenry's SB242, which removes the financial barriers for former felons seeking to reregister to vote, passed the…","2016-05-10 19:14:04","TRUE","FALSE","2","0","FALSE"
"130","RT @Meyer4NCC: Join Matt this Fri at 6pm at #ArtistAveStation to discuss Wilm's growing creative community. #netDE #inWilm https://t.co/cE5…","2016-05-10 19:13:51","TRUE","FALSE","1","0","FALSE"
"131","RT @KellyA_Clark: Wow! Mother daughter Delta team advocating for Care act across the generations  @Ekanewilliams #netde @RoamtheDomes @SGin…","2016-05-10 19:13:20","TRUE","FALSE","1","0","FALSE"
"132","The #women who like #DonaldTrump https://t.co/C7y0Q4zCOF RT @nytimes @BCpoliticsmores @KatieMcGintyPA #campaign2016 #electionexpenses #netde","2016-05-10 19:13:18","FALSE","FALSE","1","0","FALSE"
"133","SB 208, sponsored by Sen. Blevins, has passed the Senate unanimously. The bill strengthens #Delaware's Online Privacy Protection Act. #netDE","2016-05-10 19:12:09","FALSE","FALSE","1","1","FALSE"
"134","Wow! Mother daughter Delta team advocating for Care act across the generations  @Ekanewilliams #netde @RoamtheDomes @SGinNH","2016-05-10 19:11:30","FALSE","FALSE","1","4","FALSE"
"135","Loving the setup Del Castle Tech HS! #netde #media #smm https://t.co/Dtk2GH7wpl","2016-05-10 19:11:27","FALSE","FALSE","1","0","FALSE"
"136","Augustine Cut-off: At Edgewood Rd, just off Rt 202, delays from an accident w/injuries.  #NetDE","2016-05-10 19:11:00","FALSE","FALSE","0","0","FALSE"
"137","RT @DoverDEPolice: Helpful traffic, safety, and fan information for @nascar race week at the @MonsterMile #netde  https://t.co/XvFFayNf7n","2016-05-10 19:08:39","TRUE","FALSE","5","0","FALSE"
"138","RT @RossChastain: A5: 73 J10 Jeep Truck 3 speed, wood bed with a school bus seat mounted in the back #NetDE #ProtectYourMelon  https://t.co…","2016-05-10 19:07:08","TRUE","FALSE","1","0","FALSE"
